Date,observed,model_1_predicted,model_2_predicted,model_3_predicted
2023-06-29,30444.000000000007,31553.861,31415.654,29087.248
2023-06-30,30469.000000000015,31361.262,31185.09,28981.365
2023-07-01,30591.999999999975,31338.871,31185.564,28953.658
2023-07-02,30615.999999999985,31468.008,31312.46,29043.896
2023-07-03,31157.999999999985,31506.715,31341.62,29089.607
2023-07-04,30770.999999999985,32018.38,31862.148,29502.875
2023-07-05,30500.99999999998,31703.352,31512.152,29301.715
2023-07-06,29912.00000000001,31388.969,31246.953,29018.73
2023-07-07,30347.999999999996,30813.277,30677.988,28517.281
2023-07-08,30293.000000000007,31182.86,31066.416,28761.426
2023-07-09,30167.000000000022,31191.96,31014.195,28816.363
2023-07-10,30420.99999999999,31044.88,30871.783,28715.025
2023-07-11,30621.0,31274.826,31119.223,28871.021
2023-07-12,30382.00000000002,31503.047,31330.023,29068.143
2023-07-13,31471.000000000025,31287.383,31114.508,28922.607
2023-07-14,30330.999999999985,32287.85,32147.037,29692.955
2023-07-15,30300.99999999999,31324.973,31107.027,29021.441
2023-07-16,30251.000000000025,31144.043,31038.219,28788.729
2023-07-17,30153.999999999975,31131.986,30997.045,28739.957
2023-07-18,29868.000000000025,31042.365,30886.328,28687.791
2023-07-19,29919.000000000007,30750.045,30593.232,28457.484
2023-07-20,29805.999999999975,30770.523,30617.285,28443.076
2023-07-21,29907.999999999996,30684.018,30521.193,28370.932
2023-07-22,29789.000000000007,30767.293,30607.941,28434.018
2023-07-23,30085.000000000007,30666.348,30495.736,28360.408
2023-07-24,29177.000000000025,30934.762,30776.246,28563.387
2023-07-25,29223.999999999985,30100.266,29918.62,27921.361
2023-07-26,29354.000000000007,30044.998,29927.834,27796.04
2023-07-27,29219.00000000002,30207.586,30054.197,27912.578
2023-07-28,29317.000000000015,30090.879,29911.887,27854.578
2023-07-29,29360.000000000025,30158.564,29993.098,27900.973
2023-07-30,29279.00000000001,30216.26,30039.814,27944.672
2023-07-31,29230.999999999975,30145.164,29975.225,27891.182
2023-08-01,29695.99999999999,30087.781,29925.697,27837.557
2023-08-02,29163.999999999996,30530.95,30370.793,28182.95
2023-08-03,29175.999999999985,30071.344,29877.986,27862.947
2023-08-04,29077.000000000007,30010.89,29868.129,27771.848
2023-08-05,29048.999999999975,29937.285,29778.738,27695.623
2023-08-06,29041.999999999996,29903.898,29742.496,27670.912
2023-08-07,29180.99999999999,29892.75,29727.209,27663.629
2023-08-08,29764.000000000004,30025.121,29853.662,27768.723
2023-08-09,29565.00000000001,30598.63,30424.943,28236.404
2023-08-10,29422.999999999975,30462.602,30258.617,28185.473
2023-08-11,29398.000000000004,30285.266,30123.18,28027.596
2023-08-12,29415.000000000015,30256.484,30106.982,27972.693
2023-08-13,29283.999999999985,30279.777,30123.037,27991.64
2023-08-14,29407.99999999998,30152.814,29988.121,27902.41
2023-08-15,29172.000000000007,30253.771,30092.543,27973.494
2023-08-16,28700.999999999996,30046.576,29872.803,27815.742
2023-08-17,26641.999999999996,29567.52,29409.78,27414.523
2023-08-18,26051.000000000004,27542.092,27397.014,25740.324
2023-08-19,26096.99999999998,26796.201,26738.688,24945.191
2023-08-20,26191.999999999985,26858.293,26737.027,24928.877
2023-08-21,26124.999999999985,26972.62,26777.832,25072.934
2023-08-22,26042.0,26901.436,26685.977,25045.93
2023-08-23,26430.999999999978,26814.477,26610.396,24952.521
2023-08-24,26168.0,27197.498,27014.61,25229.658
2023-08-25,26048.000000000004,26989.115,26782.508,25098.006
2023-08-26,26007.99999999998,26830.875,26655.05,24954.33
2023-08-27,26090.00000000001,26790.244,26616.543,24896.543
2023-08-28,26103.0,26873.922,26693.412,24962.635
2023-08-29,27725.999999999978,26893.254,26703.188,24993.03
2023-08-30,27299.99999999999,28447.66,28262.13,26236.547
2023-08-31,25932.0,28204.861,27923.172,26196.994
2023-09-01,25797.99999999999,26776.914,26596.367,25030.646
2023-09-02,25870.000000000015,26535.008,26446.51,24656.688
2023-09-03,25970.000000000004,26656.295,26509.99,24730.398
2023-09-04,25819.00000000001,26756.44,26569.47,24869.135
2023-09-05,25782.999999999978,26598.88,26389.168,24769.84
2023-09-06,25748.000000000022,26550.701,26359.287,24702.205
2023-09-07,26244.99999999998,26527.973,26345.06,24666.047
2023-09-08,25908.000000000015,27007.01,26823.812,25048.844
2023-09-09,25898.999999999978,26729.713,26512.9,24878.123
2023-09-10,25835.999999999978,26667.992,26492.324,24802.363
2023-09-11,25155.00000000002,26620.627,26441.564,24744.412
2023-09-12,25844.000000000022,25958.965,25777.076,24214.72
2023-09-13,26226.000000000015,26557.994,26413.766,24633.42
2023-09-14,26528.999999999978,27021.178,26798.348,25064.639
2023-09-15,26606.999999999978,27323.82,27099.062,25370.277
2023-09-16,26570.999999999985,27408.197,27196.955,25454.322
2023-09-17,26535.000000000007,27377.424,27187.205,25420.047
2023-09-18,26770.000000000022,27341.156,27170.098,25380.127
2023-09-19,27213.999999999996,27562.797,27389.408,25557.775
2023-09-20,27127.999999999993,28012.498,27820.678,25944.98
2023-09-21,26563.00000000001,27962.158,27750.984,25954.707
2023-09-22,26581.000000000007,27390.453,27208.11,25488.283
2023-09-23,26582.999999999985,27358.812,27216.05,25393.611
2023-09-24,26247.999999999985,27387.66,27217.686,25414.13
2023-09-25,26297.0,27059.912,26875.51,25173.562
2023-09-26,26256.99999999999,27067.912,26898.41,25151.533
