Date,observed,model_1_predicted,model_2_predicted,model_3_predicted
2023-06-20,28315.000000000022,28458.95,27319.105,27045.463
2023-06-21,30009.000000000015,29961.904,28638.506,28491.264
2023-06-22,29888.99999999998,31730.695,30247.191,30260.553
2023-06-23,30716.000000000004,31726.822,30358.31,30344.648
2023-06-24,30548.000000000004,32556.482,31097.568,31054.771
2023-06-25,30477.000000000004,32480.566,31065.021,30988.885
2023-06-26,30274.0,32420.621,31007.541,30870.633
2023-06-27,30696.0,32235.793,30832.355,30654.887
2023-06-29,30444.000000000007,32650.51,31170.996,31009.492
2023-06-30,30469.000000000015,32429.682,30998.434,30823.86
2023-07-01,30591.999999999975,32434.197,31001.303,30800.117
2023-07-02,30615.999999999985,32557.787,31112.816,30913.941
2023-07-03,31157.999999999985,32584.438,31152.008,30948.367
2023-07-04,30770.999999999985,33116.58,31624.51,31450.098
2023-07-05,30500.99999999998,32763.36,31361.979,31157.918
2023-07-06,29912.00000000001,32466.354,31108.451,30843.324
2023-07-07,30347.999999999996,31866.434,30582.469,30257.84
2023-07-08,30293.000000000007,32258.857,30894.61,30589.615
2023-07-09,30167.000000000022,32223.865,30887.717,30606.482
2023-07-10,30420.99999999999,32080.7,30781.734,30478.174
2023-07-11,30621.0,32319.086,30993.467,30698.418
2023-07-12,30382.00000000002,32528.705,31196.6,30921.61
2023-07-13,31471.000000000025,32298.385,31023.275,30722.434
2023-07-14,30330.999999999985,33357.73,31935.734,31698.393
2023-07-15,30300.99999999999,32298.568,31082.387,30783.32
2023-07-16,30251.000000000025,32195.852,30958.58,30589.207
2023-07-17,30153.999999999975,32155.744,30906.277,30549.469
2023-07-18,29868.000000000025,32050.457,30812.69,30456.18
2023-07-19,29919.000000000007,31754.58,30554.482,30177.984
2023-07-20,29805.999999999975,31784.002,30566.348,30190.908
2023-07-21,29907.999999999996,31672.166,30469.863,30099.027
2023-07-22,29789.000000000007,31761.365,30543.646,30181.812
2023-07-23,30085.000000000007,31647.045,30450.08,30088.182
2023-07-24,29177.000000000025,31930.773,30691.508,30349.277
2023-07-25,29223.999999999985,31046.066,29941.17,29542.604
2023-07-26,29354.000000000007,31037.6,29891.012,29464.8
2023-07-27,29219.00000000002,31174.117,29994.355,29607.36
2023-07-28,29317.000000000015,31040.086,29884.115,29503.918
2023-07-29,29360.000000000025,31124.092,29952.223,29578.432
2023-07-30,29279.00000000001,31172.246,29996.814,29636.033
2023-07-31,29230.999999999975,31093.12,29931.406,29567.234
2023-08-01,29695.99999999999,31041.33,29881.605,29512.246
2023-08-02,29163.999999999996,31501.754,30272.848,29942.11
2023-08-03,29175.999999999985,31002.336,29862.008,29508.672
2023-08-04,29077.000000000007,30981.707,29822.076,29443.09
2023-08-05,29048.999999999975,30890.688,29731.97,29359.031
2023-08-06,29041.999999999996,30855.387,29692.414,29322.123
2023-08-07,29180.99999999999,30845.826,29678.373,29314.547
2023-08-08,29764.000000000004,30982.236,29793.338,29445.73
2023-08-09,29565.00000000001,31568.16,30304.738,30009.777
2023-08-10,29422.999999999975,31406.516,30196.611,29900.59
2023-08-11,29398.000000000004,31254.344,30063.572,29731.375
2023-08-12,29415.000000000015,31229.643,30028.844,29688.736
2023-08-13,29283.999999999985,31248.889,30037.523,29702.781
2023-08-14,29407.99999999998,31120.146,29923.496,29582.664
2023-08-15,29172.000000000007,31235.123,30014.297,29680.582
2023-08-16,28700.999999999996,31008.25,29821.652,29478.38
2023-08-17,26641.999999999996,30523.436,29392.03,29005.092
2023-08-18,26051.000000000004,28432.418,27552.102,27009.531
2023-08-19,26096.99999999998,27725.246,26821.996,26202.713
2023-08-20,26191.999999999985,27736.938,26764.477,26211.688
2023-08-21,26124.999999999985,27810.012,26819.564,26336.271
2023-08-22,26042.0,27723.871,26756.44,26300.102
2023-08-23,26430.999999999978,27623.504,26674.172,26223.314
2023-08-24,26168.0,28003.014,27000.982,26588.277
2023-08-25,26048.000000000004,27760.805,26808.803,26402.105
2023-08-26,26007.99999999998,27624.451,26679.26,26253.59
2023-08-27,26090.00000000001,27584.307,26626.875,26207.662
2023-08-28,26103.0,27667.268,26685.393,26286.26
2023-08-29,27725.999999999978,27686.672,26696.465,26313.648
2023-08-30,27299.99999999999,29303.42,28090.855,27835.94
2023-08-31,25932.0,28982.252,27890.305,27656.822
2023-09-01,25797.99999999999,27587.096,26679.186,26280.094
2023-09-02,25870.000000000015,27399.623,26429.54,25975.434
2023-09-03,25970.000000000004,27479.018,26453.621,26049.758
2023-09-04,25819.00000000001,27575.1,26526.05,26162.512
2023-09-05,25782.999999999978,27421.635,26393.824,26035.922
2023-09-06,25748.000000000022,27373.924,26343.252,25983.41
2023-09-07,26244.99999999998,27337.924,26303.213,25951.018
2023-09-08,25908.000000000015,27832.672,26726.066,26417.395
2023-09-09,25898.999999999978,27524.234,26477.75,26168.852
2023-09-10,25835.999999999978,27495.09,26439.521,26108.229
2023-09-11,25155.00000000002,27438.98,26380.033,26052.34
2023-09-12,25844.000000000022,26753.123,25773.758,25403.664
2023-09-13,26226.000000000015,27406.316,26301.531,25964.957
2023-09-14,26528.999999999978,27830.23,26689.719,26431.203
2023-09-15,26606.999999999978,28144.914,26993.516,26758.074
2023-09-16,26570.999999999985,28241.656,27101.957,26861.621
2023-09-17,26535.000000000007,28216.59,27089.965,26829.082
2023-09-18,26870.999999999975,28186.766,27061.953,26784.6
