,observed,predicted,future_prediction,past_pred
2023-02-16,23521.000000000007,24339.7,,
2023-02-17,24580.00000000002,24215.182,,
2023-02-18,24640.0,24661.201,,
2023-02-19,24295.99999999998,25005.691,,
2023-02-20,24843.000000000015,24728.814,,
2023-02-21,24450.000000000015,25051.326,,
2023-02-22,24187.999999999993,24925.406,,
2023-02-23,23939.00000000002,24578.977,,
2023-02-24,23189.0,24313.389,,
2023-02-25,23161.000000000007,23666.988,,
2023-02-26,23562.000000000004,23466.623,,
2023-02-27,23493.00000000001,23851.607,,
2023-02-28,23135.999999999993,23924.121,,
2023-03-01,23633.99999999999,23558.266,,
2023-03-02,23466.000000000004,23853.701,,
2023-03-03,22358.999999999985,23890.014,,
2023-03-04,22347.000000000004,22899.25,,
2023-03-05,22428.00000000002,22582.96,,
2023-03-06,22406.999999999993,22747.734,,
2023-03-07,22199.999999999985,22791.771,,
2023-03-08,21704.00000000002,22585.783,,
2023-03-09,20366.999999999993,22105.232,,
2023-03-10,20220.00000000001,20874.934,,
2023-03-11,20618.000000000004,20441.873,,
2023-03-12,22182.999999999996,20850.441,,
2023-03-13,24208.999999999993,22300.586,,
2023-03-14,24750.000000000007,24351.516,,
2023-03-15,24367.999999999993,25191.432,,
2023-03-16,25049.99999999998,24783.828,,
2023-03-17,27465.999999999978,25162.426,,
2023-03-18,26980.000000000004,27400.697,,
2023-03-19,28053.999999999985,27677.824,,
2023-03-20,27814.99999999999,28200.584,,
2023-03-21,28192.000000000022,28270.273,,
2023-03-22,27320.00000000001,28503.604,,
2023-03-23,28342.99999999999,27891.021,,
2023-03-24,27493.00000000002,28497.598,,
2023-03-25,27498.999999999996,28140.191,,
2023-03-26,28004.0,27872.385,,
2023-03-27,27141.99999999998,28308.363,,
2023-03-28,27272.000000000007,27774.416,,
2023-03-29,28353.00000000002,27600.516,,
2023-03-30,28038.999999999978,28568.48,,
2023-03-31,28475.99999999998,28631.596,,
2023-04-01,28469.000000000022,28799.03,,
2023-04-02,28186.00000000001,28898.375,,
2023-04-03,27816.000000000015,28660.746,,
2023-04-04,28178.0,28272.834,,
2023-04-05,28182.999999999993,28502.27,,
2023-04-06,28051.00000000002,28646.4,,
2023-04-07,27931.00000000002,28516.682,,
2023-04-08,27969.000000000015,28360.248,,
2023-04-09,28340.000000000015,28372.639,,
2023-04-10,29651.999999999985,28703.473,,
2023-04-11,30245.99999999999,29875.309,,
2023-04-12,29902.999999999996,30685.775,,
2023-04-13,30409.999999999993,30443.232,,
2023-04-14,30498.0,30685.42,,
2023-04-15,30331.999999999996,30937.037,,
2023-04-16,30329.999999999993,30822.389,,
2023-04-17,29448.00000000001,30757.113,,
2023-04-18,30395.000000000007,30052.393,,
2023-04-19,28827.000000000022,30601.201,,
2023-04-20,28238.000000000022,29634.281,,
2023-04-21,27253.99999999998,28690.363,,
2023-04-22,27817.00000000001,27797.924,,
2023-04-23,27596.000000000015,28097.393,,
2023-04-24,27511.999999999985,28140.191,,
2023-04-25,28300.000000000015,27972.266,,
2023-04-26,28427.99999999999,28563.715,,
2023-04-27,29485.00000000002,28898.54,,
2023-04-28,29332.99999999999,29732.852,,
2023-04-29,29247.0,29858.332,,
2023-04-30,29235.000000000007,29673.365,,
2023-05-01,28078.999999999985,29631.059,,
2023-05-02,28679.999999999978,28714.314,,
2023-05-03,29032.99999999998,28910.56,,
2023-05-04,28850.99999999999,29455.926,,
2023-05-05,29546.999999999993,29386.762,,
2023-05-06,28911.0,29834.365,,
2023-05-07,28471.99999999998,29505.66,,
2023-05-08,27689.999999999978,28936.625,,
2023-05-09,27649.99999999999,28207.2,,
2023-05-10,27617.999999999975,28031.926,,
2023-05-11,26990.999999999993,28062.873,,
2023-05-12,26810.999999999985,27551.258,,
2023-05-13,26788.999999999985,27217.088,,
2023-05-14,26933.00000000002,27191.611,,
2023-05-15,27165.999999999978,27334.611,,
2023-05-16,27037.000000000015,27559.246,,
2023-05-17,27403.999999999996,27494.957,,
2023-05-18,26818.000000000022,27733.365,,
2023-05-19,26893.00000000001,27355.63,,
2023-05-20,27114.999999999975,27241.135,,
2023-05-21,26750.000000000004,27479.465,,
2023-05-22,26856.00000000001,27258.494,,
2023-05-23,27226.00000000001,27217.97,,
2023-05-24,26324.99999999998,27569.947,,
2023-05-25,26477.99999999998,26933.012,,
2023-05-26,26718.000000000007,26780.156,,
2023-05-27,26871.99999999998,27078.885,,
2023-05-28,28071.99999999998,27294.729,,
2023-05-29,27749.000000000007,28279.143,,
2023-05-30,27705.999999999996,28317.709,,
2023-05-31,27219.0,28096.105,,
2023-06-01,26825.999999999993,27678.62,,
2023-06-02,27251.000000000015,27266.033,,
2023-06-03,27076.000000000004,27554.568,,
2023-06-04,27125.000000000015,27573.076,,
2023-06-05,25739.00000000001,27532.295,,
2023-06-06,27235.999999999985,26387.004,,
2023-06-07,26348.0,27245.707,,
2023-06-08,26509.999999999978,27038.062,,
2023-06-09,26484.0,26856.32,,
2023-06-10,25857.00000000002,26872.666,,
2023-06-11,25940.99999999998,26380.787,,
2023-06-12,25906.00000000001,26270.773,,
2023-06-13,25933.999999999996,26315.559,,
2023-06-14,25127.0,26340.64,,
2023-06-15,25573.000000000022,25668.574,,
2023-06-16,26333.000000000022,25812.65,,
2023-06-17,26506.999999999978,26622.734,,
2023-06-18,26340.000000000022,26965.316,,
2023-06-19,26841.999999999985,26778.879,,
2023-06-20,28315.000000000022,27107.46,,
2023-06-21,30009.000000000015,28476.107,,
2023-06-22,29888.99999999998,30245.783,,
2023-06-23,30716.000000000004,30469.777,,
2023-06-24,30548.000000000004,30932.906,,
2023-06-25,30477.000000000004,31015.734,,
2023-06-26,30274.0,30906.72,,
2023-06-27,30696.0,30730.434,,
2023-06-29,30444.000000000007,31053.025,,
2023-06-30,30469.000000000015,30982.71,,
2023-07-01,30591.999999999975,30907.78,,
2023-07-02,30615.999999999985,31016.914,,
2023-07-03,31157.999999999985,31081.822,,
2023-07-04,30770.999999999985,31518.344,,
2023-07-05,30500.99999999998,31341.078,,
2023-07-06,29912.00000000001,30976.121,,
