Date,observed,model_1_predicted,model_2_predicted,model_3_predicted
2023-06-19,1736.8,1678.8555,1706.9622,1718.2792
2023-06-20,1792.4,1689.7635,1719.4076,1729.6926
2023-06-21,1889.7999999999993,1734.22,1750.1626,1783.2379
2023-06-22,1872.5999999999995,1817.6558,1801.6797,1880.2316
2023-06-23,1893.7000000000005,1829.595,1829.1544,1876.6201
2023-06-24,1876.2000000000003,1843.5165,1859.8679,1884.9264
2023-06-25,1899.8999999999999,1834.7039,1874.1046,1871.9531
2023-06-26,1859.3999999999994,1847.6095,1889.6637,1890.5164
2023-06-27,1890.0000000000007,1822.0728,1879.9779,1858.9288
2023-06-29,1852.0999999999995,1834.7249,1883.1882,1879.1309
2023-06-30,1933.2999999999993,1813.1812,1871.5344,1851.9448
2023-07-01,1924.4000000000003,1863.8363,1893.4897,1918.1371
2023-07-02,1937.5999999999995,1875.6011,1903.6927,1925.3862
2023-07-03,1955.9999999999993,1885.5153,1917.2601,1931.1119
2023-07-04,1936.6999999999994,1901.8103,1934.986,1948.5737
2023-07-05,1910.4000000000008,1892.1567,1938.5387,1933.7372
2023-07-06,1847.6000000000001,1869.0035,1931.9858,1905.5436
2023-07-07,1870.8000000000006,1815.7222,1900.8673,1845.4005
2023-07-08,1865.4999999999995,1817.3525,1889.6539,1858.6355
2023-07-09,1863.4999999999998,1817.0378,1876.6371,1862.4797
2023-07-10,1880.7,1815.2148,1867.4764,1859.3401
2023-07-11,1878.6999999999994,1827.5208,1869.9966,1873.8802
2023-07-12,1871.6999999999994,1830.533,1872.8217,1874.875
2023-07-13,2004.8000000000004,1825.9501,1874.144,1867.0162
2023-07-14,1938.8999999999994,1919.6329,1921.3243,1985.8446
2023-07-15,1931.5000000000005,1903.4376,1928.0084,1948.8655
2023-07-16,1923.5999999999997,1886.7861,1934.3882,1922.668
2023-07-17,1911.3999999999994,1876.9701,1934.999,1915.8098
2023-07-18,1897.7000000000003,1865.7961,1929.3088,1906.1691
2023-07-19,1888.7000000000005,1852.3793,1917.4886,1892.775
2023-07-20,1891.4999999999995,1841.5073,1902.8615,1883.2681
2023-07-21,1891.9999999999995,1841.702,1898.0051,1885.3113
2023-07-22,1866.4,1842.635,1894.2368,1886.9984
2023-07-23,1889.3999999999994,1824.4166,1882.9458,1863.6675
2023-07-24,1849.5999999999992,1835.3672,1885.0891,1880.1033
2023-07-25,1857.5,1811.1877,1871.3418,1849.3875
2023-07-26,1872.2000000000007,1808.5029,1866.1742,1849.1176
2023-07-27,1861.0,1819.8611,1867.0137,1865.8015
2023-07-28,1874.2,1815.5525,1863.5118,1858.367
2023-07-29,1880.7999999999993,1823.1791,1867.4197,1867.1525
2023-07-30,1861.7000000000003,1830.6683,1871.9113,1875.6226
2023-07-31,1856.1999999999996,1819.0076,1869.5703,1858.7472
2023-08-01,1872.700000000001,1810.61,1865.5204,1849.9501
2023-08-02,1839.0999999999992,1820.6058,1868.1606,1865.225
2023-08-03,1834.5000000000005,1799.9032,1857.1127,1838.2787
2023-08-04,1827.3000000000002,1789.1666,1848.3646,1827.6235
2023-08-05,1834.9999999999993,1781.9042,1839.6167,1822.1355
2023-08-06,1827.5999999999995,1785.9135,1836.9441,1829.0227
2023-08-07,1826.999999999999,1782.2222,1831.8402,1824.0261
2023-08-08,1855.9000000000008,1780.3517,1828.7592,1821.7242
2023-08-09,1854.1999999999994,1801.2811,1838.7817,1848.0228
2023-08-10,1850.4,1806.8995,1844.1997,1851.4396
2023-08-11,1847.2000000000007,1804.6462,1847.4438,1845.7067
2023-08-12,1849.1999999999998,1801.277,1848.6547,1841.6335
2023-08-13,1839.3000000000006,1801.8396,1850.2429,1843.39
2023-08-14,1843.8999999999996,1794.8773,1846.6188,1835.1835
2023-08-15,1827.3000000000002,1795.7378,1845.0308,1837.7097
2023-08-16,1805.5999999999992,1784.4873,1838.1058,1823.9746
2023-08-17,1683.5,1765.0143,1825.9458,1801.466
2023-08-18,1661.0999999999997,1669.6967,1771.7651,1687.7013
2023-08-19,1669.5999999999997,1624.9517,1728.9315,1649.9089
2023-08-20,1685.4000000000008,1622.7842,1700.6843,1662.3491
2023-08-21,1667.3999999999996,1636.1562,1685.7775,1682.0663
2023-08-22,1634.0000000000005,1627.7815,1671.2683,1667.287
2023-08-23,1679.4999999999998,1600.4678,1654.2574,1631.8374
2023-08-24,1660.8,1626.3733,1664.7279,1668.1775
2023-08-25,1652.9999999999995,1622.7039,1661.6833,1661.5258
2023-08-26,1646.3,1613.9707,1657.128,1648.9943
2023-08-27,1657.7999999999993,1606.6506,1652.0802,1641.6133
2023-08-28,1652.1999999999994,1613.4713,1654.032,1651.9587
2023-08-29,1729.2,1612.0555,1652.6932,1649.4636
2023-08-30,1705.3000000000004,1666.6294,1678.4761,1717.6565
2023-08-31,1645.6000000000006,1667.658,1687.7568,1708.7668
2023-09-01,1628.5999999999995,1620.5912,1674.7202,1645.3435
2023-09-02,1637.1000000000001,1593.3671,1660.7178,1620.2567
2023-09-03,1635.8000000000002,1593.6056,1651.5635,1630.1669
2023-09-04,1629.7000000000003,1594.1052,1641.9725,1633.1406
2023-09-05,1634.0000000000005,1589.353,1631.6016,1626.8588
2023-09-06,1632.2000000000003,1591.6062,1630.2539,1629.1676
2023-09-07,1647.9000000000003,1591.7329,1630.8004,1628.498
2023-09-08,1635.9999999999995,1603.0233,1636.6134,1642.3099
2023-09-09,1635.3000000000006,1597.9216,1635.3888,1634.0681
2023-09-10,1616.8000000000004,1595.1025,1635.2888,1630.4404
2023-09-11,1551.7000000000003,1581.0392,1628.3124,1613.9614
2023-09-12,1593.3000000000004,1528.7362,1598.933,1552.0767
2023-09-13,1608.0999999999997,1543.4823,1595.3293,1580.5558
2023-09-14,1627.1000000000001,1562.3073,1595.0951,1605.8104
2023-09-15,1641.4999999999998,1581.3232,1603.0265,1623.9523
2023-09-16,1635.0000000000002,1597.0009,1615.3882,1637.6462
2023-09-17,1629.9,1596.5233,1624.1809,1632.2716
