Date,observed,model_1_predicted,model_2_predicted,model_3_predicted
2023-06-20,1792.4,1826.3489,1766.0143,1711.3322
2023-06-21,1889.7999999999993,1873.546,1787.6011,1763.8809
2023-06-22,1872.5999999999995,1968.1885,1831.739,1858.8456
2023-06-23,1893.7000000000005,1986.8552,1865.2135,1856.1493
2023-06-24,1876.2000000000003,1997.9614,1897.0387,1868.2079
2023-06-25,1899.8999999999999,1984.5015,1916.6714,1855.523
2023-06-26,1859.3999999999994,1995.8009,1936.5154,1872.9333
2023-06-27,1890.0000000000007,1969.4126,1939.9304,1840.2263
2023-06-29,1852.0999999999995,1981.8667,1948.4502,1860.2963
2023-06-30,1933.2999999999993,1959.8882,1943.8806,1832.0997
2023-07-01,1924.4000000000003,2013.9513,1960.3771,1897.6893
2023-07-02,1937.5999999999995,2031.6516,1971.8494,1903.3352
2023-07-03,1955.9999999999993,2042.5541,1984.0262,1910.8995
2023-07-04,1936.6999999999994,2058.5232,1997.864,1929.0292
2023-07-05,1910.4000000000008,2047.8156,2003.0715,1914.0237
2023-07-06,1847.6000000000001,2020.3939,1998.6245,1886.5764
2023-07-07,1870.8000000000006,1960.5096,1976.0833,1826.8296
2023-07-08,1865.4999999999995,1958.809,1962.4937,1839.0353
2023-07-09,1863.4999999999998,1961.7124,1950.3,1840.1774
2023-07-10,1880.7,1962.4344,1940.4521,1837.1246
2023-07-11,1878.6999999999994,1976.2885,1937.7524,1852.3634
2023-07-12,1871.6999999999994,1980.2212,1936.0105,1853.5278
2023-07-13,2004.8000000000004,1974.4875,1933.2542,1846.4576
2023-07-14,1938.8999999999994,2075.7893,1966.2206,1963.8865
2023-07-15,1931.5000000000005,2066.0696,1978.3873,1925.8336
2023-07-16,1923.5999999999997,2043.4426,1985.3335,1904.4546
2023-07-17,1911.3999999999994,2027.9773,1987.4436,1897.7509
2023-07-18,1897.7000000000003,2014.6909,1984.7843,1886.178
2023-07-19,1888.7000000000005,2000.6726,1978.1118,1872.0815
2023-07-20,1891.4999999999995,1989.8778,1969.7471,1862.3713
2023-07-21,1891.9999999999995,1989.8096,1963.5879,1864.094
2023-07-22,1866.4,1991.8049,1959.0071,1865.4164
2023-07-23,1889.3999999999994,1972.5048,1948.6873,1842.6394
2023-07-24,1849.5999999999992,1982.8932,1946.5502,1859.3757
2023-07-25,1857.5,1957.8192,1934.7441,1828.3156
2023-07-26,1872.2000000000007,1953.1608,1927.2839,1828.795
2023-07-27,1861.0,1966.0143,1925.7299,1844.5233
2023-07-28,1874.2,1963.1965,1922.3856,1836.8066
2023-07-29,1880.7999999999993,1971.0908,1923.618,1846.3773
2023-07-30,1861.7000000000003,1979.702,1926.99,1854.7268
2023-07-31,1856.1999999999996,1966.9707,1924.9633,1838.2969
2023-08-01,1872.700000000001,1956.3596,1921.646,1830.1908
2023-08-02,1839.0999999999992,1966.6567,1923.3245,1844.7782
2023-08-03,1834.5000000000005,1945.508,1915.9897,1817.5458
2023-08-04,1827.3000000000002,1932.395,1908.4817,1807.82
2023-08-05,1834.9999999999993,1924.0189,1900.5048,1801.8851
2023-08-06,1827.5999999999995,1928.7239,1896.4961,1808.1157
2023-08-07,1826.999999999999,1926.0402,1891.8926,1803.0144
2023-08-08,1855.9000000000008,1924.1016,1888.4647,1801.2426
2023-08-09,1854.1999999999994,1946.5854,1893.9152,1827.2976
2023-08-10,1850.4,1954.5544,1898.7864,1830.3453
2023-08-11,1847.2000000000007,1951.8861,1902.0187,1825.6603
2023-08-12,1849.1999999999998,1946.967,1903.681,1822.1432
2023-08-13,1839.3000000000006,1946.7377,1905.2821,1823.5991
2023-08-14,1843.8999999999996,1939.37,1903.8127,1815.1267
2023-08-15,1827.3000000000002,1940.1848,1903.6156,1817.6427
2023-08-16,1805.5999999999992,1928.251,1898.9547,1803.8451
2023-08-17,1683.5,1906.2352,1889.0295,1781.8473
2023-08-18,1661.0999999999997,1800.6843,1846.4469,1669.7563
2023-08-19,1669.5999999999997,1745.2715,1804.5549,1632.8304
2023-08-20,1685.4000000000008,1743.5039,1774.1296,1641.6807
2023-08-21,1667.3999999999996,1763.9255,1756.4956,1658.8871
2023-08-22,1634.0000000000005,1759.1084,1740.2158,1645.3514
2023-08-23,1679.4999999999998,1728.0997,1719.8956,1612.6813
2023-08-24,1660.8,1752.7958,1717.2903,1649.2905
2023-08-25,1652.9999999999995,1751.7103,1712.5436,1641.2463
2023-08-26,1646.3,1742.2823,1707.94,1630.1342
2023-08-27,1657.7999999999993,1733.1088,1703.3121,1623.5845
2023-08-28,1652.1999999999994,1739.8762,1703.4739,1633.483
2023-08-29,1729.2,1739.377,1703.0718,1630.6084
2023-08-30,1705.3000000000004,1799.7891,1723.9336,1698.1779
2023-08-31,1645.6000000000006,1805.1427,1736.3523,1688.9305
2023-09-01,1628.5999999999995,1751.176,1729.9952,1628.9701
2023-09-02,1637.1000000000001,1715.0966,1718.6134,1605.2294
2023-09-03,1635.8000000000002,1714.1799,1711.0864,1612.582
2023-09-04,1629.7000000000003,1718.0203,1705.0758,1613.5974
2023-09-05,1634.0000000000005,1715.458,1699.1426,1607.7397
2023-09-06,1632.2000000000003,1717.6345,1696.0245,1610.8461
