Date,observed,model_1_predicted,model_2_predicted,model_3_predicted
2023-08-20,65.22000000000001,65.657074,64.965,65.05881
2023-08-21,66.92000000000002,67.01519,65.86818,64.51537
2023-08-22,64.53,68.951164,67.97047,65.2602
2023-08-23,65.66999999999999,67.235886,66.0581,65.03253
2023-08-24,64.84999999999998,67.71242,66.84116,65.392685
2023-08-25,65.12999999999998,67.24159,66.35438,65.33312
2023-08-26,64.99999999999999,67.354744,66.32091,65.38495
2023-08-27,65.33,67.31339,66.38492,65.34948
2023-08-28,65.57,67.60192,66.63066,65.44075
2023-08-29,68.91000000000003,67.90108,66.94764,65.58917
2023-08-30,67.62000000000002,70.95135,70.16233,67.060585
2023-08-31,63.91999999999999,70.54639,69.42174,67.55765
2023-09-01,63.03,66.84563,65.63826,66.18197
2023-09-02,64.56,65.166885,64.445175,64.7328
2023-09-03,63.92999999999999,66.39666,65.69904,64.42235
2023-09-04,63.70999999999997,66.29849,65.22928,64.07274
2023-09-05,63.12000000000002,66.00174,65.00544,63.816914
2023-09-06,62.809999999999995,65.41651,64.55648,63.45146
2023-09-07,63.65999999999998,65.02512,64.138,63.11145
2023-09-08,62.59999999999997,65.743195,64.93886,63.27791
2023-09-09,63.05000000000001,65.01288,64.06635,63.001404
2023-09-10,61.13000000000002,65.18606,64.33406,63.003925
2023-09-11,58.749999999999986,63.564114,62.679554,62.21865
2023-09-12,59.93000000000001,61.02175,60.14856,60.660908
2023-09-13,61.99000000000001,61.58061,60.99112,60.139755
2023-09-14,62.86000000000001,63.779556,63.080822,60.771183
2023-09-15,65.99,65.10821,64.146866,61.693058
2023-09-16,65.39,68.082115,67.3392,63.63957
2023-09-17,63.58,68.18878,67.27309,64.73493
2023-09-18,65.83999999999999,66.31715,65.334526,64.55926
2023-09-19,67.41999999999999,67.838776,67.31795,65.20527
2023-09-20,64.59999999999998,69.77492,69.034195,66.25602
2023-09-21,64.72000000000003,67.58316,66.40797,65.73229
2023-09-22,64.35,66.98631,66.246445,65.28847
2023-09-23,65.08999999999997,66.65806,65.95791,64.802536
2023-09-24,63.59000000000003,67.28884,66.42155,64.79976
2023-09-25,64.27000000000001,66.1279,65.20303,64.21888
2023-09-26,63.74,66.40607,65.6147,64.122
2023-09-27,63.52000000000002,66.09351,65.28778,63.891087
2023-09-28,65.22000000000001,65.80354,64.919975,63.672836
2023-09-29,65.60000000000002,67.28239,66.585464,64.265564
2023-09-30,65.98,68.02867,67.16965,64.886086
2023-10-01,68.2,68.439835,67.54247,65.4602
2023-10-02,66.03,70.46657,69.787025,66.732635
2023-10-03,65.45999999999998,68.97356,67.96291,66.66241
2023-10-04,64.42,67.91688,67.050285,66.23251
2023-10-05,64.83000000000003,66.81631,66.090454,65.42799
2023-10-06,65.52000000000001,66.99203,66.17197,65.04373
2023-10-07,65.48999999999997,67.74895,66.9434,65.12861
2023-10-08,65.40999999999998,67.91034,66.99899,65.239265
2023-10-09,63.09000000000001,67.82361,66.95345,65.30711
2023-10-10,63.77999999999999,65.69754,64.76392,64.37226
2023-10-11,61.550000000000004,65.80025,65.06923,64.004395
2023-10-12,61.07999999999999,63.990936,63.112053,62.868492
2023-10-13,61.47000000000001,63.13279,62.264236,61.935844
2023-10-14,61.60000000000002,63.421757,62.717224,61.559677
2023-10-15,61.59,63.70178,62.82965,61.472294
2023-10-16,63.30000000000002,63.760338,62.88663,61.49243
2023-10-17,62.080000000000005,65.29528,64.56655,62.261745
2023-10-18,60.20999999999998,64.590416,63.66127,62.32237
2023-10-19,61.79000000000001,62.6124,61.69385,61.517742
2023-10-20,63.429999999999986,63.583817,62.995785,61.585308
2023-10-21,64.77,65.45914,64.73077,62.359436
2023-10-22,65.21,67.07449,66.14825,63.485176
2023-10-23,69.16000000000001,67.725624,66.85959,64.423454
2023-10-24,69.01000000000002,71.284966,70.66809,66.60814
2023-10-25,68.68,71.99077,71.06257,68.01096
2023-10-26,68.77999999999999,71.54446,70.576294,68.64083
2023-10-27,67.05000000000003,71.421165,70.73643,68.90363
2023-10-28,67.75,69.82913,68.91625,68.194824
2023-10-29,68.83000000000001,70.05566,69.28555,67.902374
2023-10-30,69.27000000000001,71.198616,70.455315,68.16605
2023-10-31,68.92999999999999,71.86716,70.91614,68.574356
2023-11-01,69.96999999999997,71.63252,70.71906,68.723495
2023-11-02,69.33,72.446434,71.685074,69.23786
2023-11-03,69.49999999999997,72.08001,71.18555,69.31622
2023-11-04,70.46000000000002,72.06805,71.19804,69.39738
2023-11-05,71.81999999999998,72.94695,72.191696,69.83589
2023-11-06,74.41999999999999,74.38772,73.54573,70.706825
2023-11-07,73.49999999999997,77.014206,76.2188,72.37903
2023-11-08,73.10000000000002,76.71282,75.68717,73.12066
2023-11-09,73.86999999999998,76.0382,75.129684,73.30544
2023-11-10,73.31000000000003,76.5562,75.86418,73.62492
2023-11-11,75.25000000000003,76.21269,75.2598,73.53752
2023-11-12,74.73000000000002,77.82232,77.01391,74.2362
2023-11-13,71.23000000000002,77.77343,76.816185,74.50064
2023-11-14,70.61000000000001,74.450386,73.26801,73.11951
2023-11-15,74.07000000000001,73.08218,72.325455,71.83872
2023-11-16,70.94,76.099,75.51683,72.48797
2023-11-17,68.63000000000001,74.16459,72.85153,71.777466
